LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
300 N DAVIDSON ST,28202,35.224467,-80.835845,Central,476,2017/02/17 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,7th Street,365.85
200 E BROOKLYN VILLAGE AV,28202,35.222488,-80.847424,Central,476,2024/02/07 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Disorderly Conduct,0,"""Violent and Public Safety Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2024/06/28 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
300 LINCOLN ST,28203,35.219971,-80.856597,Central,339,2023/09/24 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,474.62
100 N TRYON ST,28205,35.227199,-80.843083,Central,476,2018/08/14 00:00:00+00,Indoors,Commercial Place,Office,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2022/06/14 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/02/08 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2022/08/22 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street","237.09,245.11"
200 N CHURCH ST,28202,35.228926,-80.843025,Central,476,2020/10/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,460.12
500 S TRYON ST,28202,35.224178,-80.847459,Central,476,2019/02/15 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","312.78,405.25"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2023/04/16 00:00:00+00,Outdoors,Open Area,Public Park/Playground,Aggravated Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,457.15
1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,2017/02/01 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,420.85
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/06/25 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2020/03/05 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
200 S DAVIDSON ST,28202,35.2221,-80.839211,Central,476,2017/06/29 00:00:00+00,Parking Deck,Public/Non-Residential,Government Building,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2023/10/19 00:00:00+00,Outdoors,Open Area,Other - Open Area,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2023/11/09 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,2,Fraud and Financial Crimes,East/West,East/West,284.72
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2024/02/16 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2018/10/18 00:00:00+00,Indoors,Public/Non-Residential,Hospital/Medical Facility,Embezzlement,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2022/07/17 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,457.15
500 LEXINGTON AV,28203,35.216593,-80.849293,Providence,3,2023/01/20 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Carson,Carson,290.62
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/02/02 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2023/09/22 00:00:00+00,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 E 5TH ST,28202,35.227041,-80.840856,Central,476,2018/06/21 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2017/04/24 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,247.89
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2018/03/10 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2020/11/25 00:00:00+00,Other,Retail,Drug Store,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,"East/West,Bland","246.28,365.07"
800 S COLLEGE ST,28202,35.221183,-80.849572,Central,476,2018/11/29 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Brooklyn Village,Carson","240.62,278.88"
1300 S TRYON ST,28203,35.218303,-80.853916,Central,339,2022/08/02 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,301.04
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2019/02/08 00:00:00+00,Indoors,Retail,ABC/Liquor Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,98.98
300 E BLAND ST,28203,35.217008,-80.854286,Central,339,2019/12/12 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,158.91
100 E 9TH ST,28202,35.231011,-80.837663,Central,476,2023/04/02 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,282.59
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2021/01/11 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,"East/West,Bland","246.28,365.07"
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2023/06/18 00:00:00+00,Indoors,Residential,Garage/Storage - Detached,Burglary/B&E,7,"""Coercive and Violent Offenses""",East/West,East/West,548.93
400 E 4TH ST,28202,35.223788,-80.841164,Central,476,2019/01/03 00:00:00+00,Outdoors,Open Area,Other - Open Area,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
300 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2024/08/29 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
2000 ATHERTON HEIGHTS LN,28203,35.208554,-80.858111,Providence,3,2025/09/24 00:00:00+00,Parking Lot,Residential,Private Residence,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,387.68
600 E STONEWALL ST,28202,35.219052,-80.843542,Central,3,2018/06/16 00:00:00+00,Other,Open Area,Construction Site,Theft From Building,8,Theft and Vehicle Offenses,Brooklyn Village,Brooklyn Village,403.56
1700 CAMDEN RD,28203,35.213679,-80.857913,Central,388,2025/10/15 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,2,Fraud and Financial Crimes,Bland,"East/West,Bland","224.24,338.13"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2020/09/05 00:00:00+00,Outdoors,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2025/10/06 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,98.98
200 W 6TH ST,28202,35.229707,-80.841901,Central,476,2019/02/04 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,7th Street,445.24
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2018/02/26 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2019/02/07 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
600 E 8TH ST,28202,35.225987,-80.833699,Central,476,2021/04/28 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street","419.75,428.46"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2018/02/11 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Theft From Building,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,457.15
400 E 7TH ST,28202,35.2269,-80.83673,Central,476,2017/02/26 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","126.12,348.15,473.53"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/03/27 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
1500 SOUTHWOOD AV,28203,35.217406,-80.860021,Central,339,2022/10/25 00:00:00+00,Indoors,Residential,Private Residence,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,465.54
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2025/02/26 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Theft From Building,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,457.15
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2023/08/27 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,409.9
300 FIRST WARD CT,28202,35.227552,-80.832126,Central,476,2021/09/26 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,9,"""Fatal Incidents and Investigations""",9th Street,9th Street,353.75
600 S CALDWELL ST,28202,35.219373,-80.84663,Central,476,2022/10/19 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Brooklyn Village,Brooklyn Village,225.46
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2023/08/10 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2025/06/06 00:00:00+00,Indoors,Retail,Other - Retail,Shoplifting,4,"""Theft-Related Offenses""",East/West,East/West,247.89
1700 CAMDEN RD,28208,35.213679,-80.857913,Central,388,2024/01/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,"East/West,Bland","224.24,338.13"
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2018/10/15 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Impersonation,2,Fraud and Financial Crimes,Bland,"East/West,Bland","246.28,365.07"
100 W PARK AV,28203,35.214699,-80.857006,Central,388,2021/10/15 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
700 N TRYON ST,28202,35.23185,-80.836487,Central,476,2018/01/25 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,274.15
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2023/02/07 00:00:00+00,Other,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 W KINGSTON AV,28203,35.213679,-80.857913,Central,388,2022/11/14 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Coercive and Violent Offenses""",Bland,"East/West,Bland","224.24,338.13"
100 W MOREHEAD ST,28201,35.221779,-80.85213,Central,476,2020/06/03 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Carson,Carson,341.54
300 W BLAND ST,28203,35.219246,-80.857294,Central,339,2025/02/01 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,420.85
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2023/09/26 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2025/01/22 00:00:00+00,Parking Lot,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
100 E PARK AV,28203,35.214699,-80.857006,Central,3,2025/05/18 00:00:00+00,Other,Residential,Common Area of Multi-Family Dwelling,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2018/07/01 00:00:00+00,Outdoors,Open Area,Public Park/Playground,Aggravated Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,3rd St/Convention,457.15
900 S TRYON ST,28202,35.221776,-80.850362,Central,476,2020/07/24 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Brooklyn Village,Brooklyn Village,314.35
100 S POPLAR ST,28202,35.228968,-80.84514,Central,476,2025/12/20 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,556.86
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2019/03/02 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,158.91
500 N COLLEGE ST,28202,35.229332,-80.837656,Central,476,2023/12/08 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street","237.09,245.11"
300 S COLLEGE ST,28202,35.224709,-80.844206,Central,476,2017/05/01 00:00:00+00,Parking Deck,Commercial Place,Financial Institution,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
700 N CHURCH ST,28202,35.23278,-80.837512,Central,476,2024/02/28 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,411.0
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2017/05/28 00:00:00+00,Other,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2023/09/30 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,474.73
1600 CAMDEN RD,28203,35.214699,-80.857006,Central,388,2017/04/24 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
100 W 10TH ST,28202,35.23185,-80.836487,Central,476,2021/09/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,9th Street,9th Street,274.15
300 S TRYON ST,28203,35.225651,-80.845306,Central,476,2022/01/01 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2022/06/13 00:00:00+00,Outdoors,Commercial Place,Office,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2025/09/24 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,204.25
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2020/04/18 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2022/02/08 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2019/11/08 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
400 WEST BV,28203,35.214791,-80.863564,Central,388,2019/10/28 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,509.81
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2019/11/15 00:00:00+00,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2021/08/17 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,154.13
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2025/05/19 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Intimidation,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 WEST BV,28203,35.213197,-80.860153,Central,388,2023/06/21 00:00:00+00,Parking Lot,Residential,Garage/Storage - Detached,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,165.64
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2023/07/14 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
