YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2020,1900 S TRYON ST,28203,35.21,-80.86,Central,388,2020-10-11,Outdoors,Retail,Vehicle Dealership,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,77.9,67.9,70.7,2.72,75.0,99.1,90.7,11.9,6.7,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2019,300 W PARK AV,28203,35.22,-80.86,Central,388,2019-09-21,Other,Commercial Place,Office,Impersonation,8,Fraudulent Identity Crimes,6,Bland,35.21583,-80.85528,86.3,58.6,72.6,0.0,0.0,7.7,61.7,8.6,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,200 W 6TH ST,28202,35.23,-80.84,Central,476,2024-07-06,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,95.8,76.4,82.9,0.322,16.67,75.1,72.6,14.9,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,100 S TRYON ST,28202,35.23,-80.84,Central,476,2018-10-08,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Embezzlement,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,87.0,69.1,77.4,0.027,8.33,61.0,79.9,9.9,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,100 S TRYON ST,28202,35.23,-80.84,Central,476,2018-10-08,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Embezzlement,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,87.0,69.1,77.4,0.027,8.33,61.0,79.9,9.9,9.1,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,600 E 5TH ST,28202,35.22,-80.84,Central,476,2021-12-01,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,66.5,34.9,50.8,0.0,0.0,44.2,61.0,11.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,600 E 5TH ST,28202,35.22,-80.84,Central,476,2021-12-01,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,66.5,34.9,50.8,0.0,0.0,44.2,61.0,11.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,2100 HAWKINS ST,28203,35.21,-80.86,Central,338,2024-06-12,Parking Lot,Commercial Place,Restaurant/Diner/Coffee Shop,Theft From Motor Vehicle,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,85.5,64.8,76.8,0.0,0.0,63.4,57.3,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,400 N TRYON ST,28202,35.23,-80.84,Central,476,2022-03-15,Outdoors,Open Area,Bus Stop,Pocket-Picking,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,66.5,38.4,54.8,0.0,0.0,49.0,55.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,400 N TRYON ST,28202,35.23,-80.84,Central,476,2022-03-15,Outdoors,Open Area,Bus Stop,Pocket-Picking,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,66.5,38.4,54.8,0.0,0.0,49.0,55.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-01-09,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,56.1,39.2,48.8,0.0,0.0,7.0,37.5,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-01-09,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,56.1,39.2,48.8,0.0,0.0,7.0,37.5,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-01-09,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,56.1,39.2,48.8,0.0,0.0,7.0,37.5,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,300 E 5TH ST,28202,35.23,-80.84,Central,476,2024-12-06,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,41.9,22.8,31.6,0.0,0.0,0.0,39.6,13.0,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,300 E 5TH ST,28202,35.23,-80.84,Central,476,2024-12-06,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,41.9,22.8,31.6,0.0,0.0,0.0,39.6,13.0,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,300 E 5TH ST,28202,35.23,-80.84,Central,476,2024-12-06,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,41.9,22.8,31.6,0.0,0.0,0.0,39.6,13.0,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,200 S CHURCH ST,28202,35.23,-80.85,Central,476,2017-02-18,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,67.9,39.2,52.1,0.01,4.17,43.7,53.6,15.4,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,200 S CHURCH ST,28202,35.23,-80.85,Central,476,2017-02-18,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,67.9,39.2,52.1,0.01,4.17,43.7,53.6,15.4,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-11-15,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,50.0,38.9,44.4,0.093,25.0,73.9,60.8,12.9,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-11-15,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,50.0,38.9,44.4,0.093,25.0,73.9,60.8,12.9,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2019,200 N COLLEGE ST,28202,35.23,-80.84,Central,476,2019-11-15,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,50.0,38.9,44.4,0.093,25.0,73.9,60.8,12.9,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-02-22,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,71.7,52.8,62.3,0.0,0.0,88.4,76.2,15.0,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-02-22,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,71.7,52.8,62.3,0.0,0.0,88.4,76.2,15.0,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,300 E TRADE ST,28202,35.23,-80.84,Central,476,2022-02-22,Indoors,Commercial Place,Stadium/Arena,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,71.7,52.8,62.3,0.0,0.0,88.4,76.2,15.0,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,900 N COLLEGE ST,28206,35.23,-80.83,Central,476,2017-05-04,Other,Commercial Place,Other - Commercial Place,Missing Person,9,Non-Criminal Incident Reports,0,9th Street,35.2297,-80.835,75.4,61.5,68.3,0.24,25.0,62.2,63.9,17.8,9.4,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-08-21,Outdoors,Open Area,Bus Stop,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,92.6,70.3,81.6,0.0,0.0,42.1,66.4,7.4,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-08-21,Outdoors,Open Area,Bus Stop,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,92.6,70.3,81.6,0.0,0.0,42.1,66.4,7.4,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,300 E TRADE ST,28202,35.23,-80.84,Central,476,2023-08-21,Outdoors,Open Area,Bus Stop,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,92.6,70.3,81.6,0.0,0.0,42.1,66.4,7.4,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-03-04,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,70.9,45.9,57.8,0.0,0.0,58.0,75.6,10.2,7.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-03-04,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,70.9,45.9,57.8,0.0,0.0,58.0,75.6,10.2,7.0,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,1400 SOUTH BV,28203,35.22,-80.85,Central,3,2020-07-10,Outdoors,Residential,Private Residence,Theft of Motor Vehicle Parts from Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,92.9,72.0,82.1,0.05,12.5,57.8,70.2,9.8,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,100 N TRYON ST,28202,35.23,-80.84,Central,476,2022-12-14,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,44.7,32.9,40.0,0.42,41.67,96.6,84.1,9.1,6.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,100 N TRYON ST,28202,35.23,-80.84,Central,476,2022-12-14,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,44.7,32.9,40.0,0.42,41.67,96.6,84.1,9.1,6.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,200 W TRADE ST,28202,35.23,-80.84,Central,476,2022-02-14,Indoors,Commercial Place,Hotel/Motel,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,53.6,26.9,38.9,0.0,0.0,7.3,48.5,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2021-02-16,Indoors,Open Area,Construction Site,Burglary/B&E,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,52.4,34.9,44.2,0.046,16.67,68.1,72.4,17.3,7.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2021-02-16,Indoors,Open Area,Construction Site,Burglary/B&E,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,52.4,34.9,44.2,0.046,16.67,68.1,72.4,17.3,7.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-06-07,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,76.8,64.0,71.1,0.001,4.17,69.8,52.9,13.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-06-07,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,76.8,64.0,71.1,0.001,4.17,69.8,52.9,13.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,400 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2017-06-07,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",4,Brooklyn Village,35.22139,-80.84694,76.8,64.0,71.1,0.001,4.17,69.8,52.9,13.6,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,100 W 5TH ST,28202,35.23,-80.84,Central,476,2023-12-11,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,49.8,35.8,42.3,0.215,33.33,15.5,64.2,11.3,9.7,0.0,Rain,,,,,,,,,,,,,,
2023,100 W 5TH ST,28202,35.23,-80.84,Central,476,2023-12-11,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,49.8,35.8,42.3,0.215,33.33,15.5,64.2,11.3,9.7,0.0,Rain,,,,,,,,,,,,,,
2020,200 S TRYON ST,28202,35.23,-80.84,Central,476,2020-01-26,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,54.4,29.0,41.8,0.0,0.0,36.8,61.2,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,200 S TRYON ST,28202,35.23,-80.84,Central,476,2020-01-26,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,54.4,29.0,41.8,0.0,0.0,36.8,61.2,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2018-08-29,Indoors,Commercial Place,Hotel/Motel,Simple Assault,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,92.8,72.7,82.3,0.0,0.0,40.1,73.3,8.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2018-08-29,Indoors,Commercial Place,Hotel/Motel,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,92.8,72.7,82.3,0.0,0.0,40.1,73.3,8.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 S CALDWELL ST,28202,35.22,-80.84,Central,476,2018-08-29,Indoors,Commercial Place,Hotel/Motel,Simple Assault,4,Sexual Violence Offenses,3,3rd St/Convention,35.22361,-80.84306,92.8,72.7,82.3,0.0,0.0,40.1,73.3,8.8,9.4,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,400 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-05-18,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Damage/Vandalism Of Property,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,90.9,65.1,79.2,0.0,0.0,24.8,59.0,6.8,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,400 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-05-18,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,90.9,65.1,79.2,0.0,0.0,24.8,59.0,6.8,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2019,400 N BREVARD ST,28202,35.23,-80.84,Central,476,2019-05-18,Parking Lot,Public/Non-Residential,Other - Public/Non-Residential,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,90.9,65.1,79.2,0.0,0.0,24.8,59.0,6.8,9.3,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,900 N COLLEGE ST,28206,35.23,-80.83,Central,476,2023-05-31,Outdoors,Residential,Shelter-Mission/Homeless,Trespass Of Real Property,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,76.8,62.6,69.0,0.0,0.0,84.9,73.0,10.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,200 N TRYON ST,28202,35.23,-80.84,Central,476,2023-11-01,Other,Commercial Place,Financial Institution,Wire Fraud,0,Fraudulent Financial Crimes,1,7th Street,35.22722,-80.83806,52.8,38.0,44.5,0.0,0.0,14.5,44.1,16.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2023,200 N TRYON ST,28202,35.23,-80.84,Central,476,2023-11-01,Other,Commercial Place,Financial Institution,Wire Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,52.8,38.0,44.5,0.0,0.0,14.5,44.1,16.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,300 S TRYON ST,28282,35.23,-80.85,Central,476,2021-11-17,Outdoors,Commercial Place,Office,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,73.8,46.7,59.0,0.0,0.0,1.9,66.0,13.5,9.4,0.0,Clear,,,,,,,,,,,,,,
2021,300 S TRYON ST,28282,35.23,-80.85,Central,476,2021-11-17,Outdoors,Commercial Place,Office,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,73.8,46.7,59.0,0.0,0.0,1.9,66.0,13.5,9.4,0.0,Clear,,,,,,,,,,,,,,
2023,1200 S COLLEGE ST,28203,35.22,-80.85,Central,339,2023-03-21,Indoors,Residential,Apartment/Duplex Private Res,Identity Theft,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,62.6,29.1,46.8,0.0,0.0,54.4,42.8,9.9,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,2000 SOUTH BV,28203,35.21,-80.86,Central,3,2022-02-10,Indoors,Retail,Other - Retail,Pocket-Picking,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,65.7,35.3,50.9,0.0,0.0,16.7,44.2,15.8,9.9,0.0,Clear,,,,,,,,,,,,,,
2025,100 N TRYON ST,28202,35.23,-80.84,Central,476,2025-02-11,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,41.9,35.1,38.6,0.169,50.0,97.1,75.6,11.9,7.5,0.0,"Snow, Rain, Overcast",,,,,,,,,,,,,,
2025,100 N TRYON ST,28202,35.23,-80.84,Central,476,2025-02-11,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,41.9,35.1,38.6,0.169,50.0,97.1,75.6,11.9,7.5,0.0,"Snow, Rain, Overcast",,,,,,,,,,,,,,
2017,100 N TRYON ST,28202,35.23,-80.84,Central,476,2017-07-09,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,87.8,67.1,77.3,0.0,0.0,44.6,68.8,6.5,8.2,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,100 N TRYON ST,28202,35.23,-80.84,Central,476,2017-07-09,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,87.8,67.1,77.3,0.0,0.0,44.6,68.8,6.5,8.2,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,1400 S TRYON ST,28203,35.22,-80.86,Central,339,2022-08-10,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,90.9,71.7,79.9,0.001,4.17,60.1,74.8,10.0,9.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,600 S CALDWELL ST,28202,35.22,-80.85,Central,476,2021-08-19,Indoors,Retail,Drug Store,Burglary/B&E,7,"""Fraud and Theft Crimes""",4,Brooklyn Village,35.22139,-80.84694,92.6,73.6,80.8,0.159,8.33,50.8,77.7,13.3,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2023,200 E BLAND ST,28203,35.22,-80.85,Central,339,2023-11-09,Outdoors,Open Area,Railroad Tracks,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,82.9,57.0,68.9,0.0,0.0,37.3,60.4,8.6,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,200 E TRADE ST,28202,35.23,-80.84,Central,476,2020-08-06,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,90.6,71.3,80.5,0.011,8.33,66.1,71.8,13.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,200 E TRADE ST,28202,35.23,-80.84,Central,476,2020-08-06,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,90.6,71.3,80.5,0.011,8.33,66.1,71.8,13.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,200 E TRADE ST,28202,35.23,-80.84,Central,476,2020-08-06,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,90.6,71.3,80.5,0.011,8.33,66.1,71.8,13.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,1400 S CHURCH ST,28203,35.22,-80.86,Central,339,2024-05-06,Indoors,Open Area,Construction Site,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",6,Bland,35.21583,-80.85528,79.6,67.0,72.0,0.023,12.5,83.2,82.0,8.5,8.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,1500 S TRYON ST,28203,35.22,-80.86,Central,339,2025-01-01,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,55.1,39.0,47.8,0.0,0.0,12.2,47.8,15.4,9.9,0.0,Clear,,,,,,,,,,,,,,
2025,1500 S TRYON ST,28203,35.22,-80.86,Central,339,2025-01-01,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,55.1,39.0,47.8,0.0,0.0,12.2,47.8,15.4,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-11,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Affray,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,82.9,61.8,72.6,0.0,0.0,47.7,67.3,10.3,9.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-11,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Affray,7,"""Fraud and Theft Crimes""",2,CTC/Arena,35.225,-80.84139,82.9,61.8,72.6,0.0,0.0,47.7,67.3,10.3,9.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-05-11,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Affray,7,"""Fraud and Theft Crimes""",3,3rd St/Convention,35.22361,-80.84306,82.9,61.8,72.6,0.0,0.0,47.7,67.3,10.3,9.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 S COLLEGE ST,28244,35.23,-80.84,Central,476,2017-08-28,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,80.0,62.9,72.3,0.0,0.0,69.9,64.0,17.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 S COLLEGE ST,28244,35.23,-80.84,Central,476,2017-08-28,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,80.0,62.9,72.3,0.0,0.0,69.9,64.0,17.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,2000 SOUTH BV,28203,35.21,-80.86,Central,3,2020-09-21,Indoors,Retail,Shopping Mall,Shoplifting,7,"""Fraud and Theft Crimes""",7,East/West,35.21194,-80.85917,70.0,47.3,58.9,0.0,0.0,21.5,63.8,15.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,1800 SOUTH BV,28203,35.21,-80.86,Central,3,2017-01-31,Outdoors,Open Area,Other - Open Area,Simple Assault,4,Sexual Violence Offenses,7,East/West,35.21194,-80.85917,69.0,34.2,51.0,0.0,0.0,42.5,44.2,18.6,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-03-03,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,64.6,51.3,56.1,0.0,0.0,74.9,85.5,5.7,6.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-03-03,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,64.6,51.3,56.1,0.0,0.0,74.9,85.5,5.7,6.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,100 N COLLEGE ST,28202,35.23,-80.84,Central,476,2024-03-03,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,64.6,51.3,56.1,0.0,0.0,74.9,85.5,5.7,6.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,2100 HAWKINS ST,28203,35.21,-80.86,Central,338,2025-09-14,Indoors,Commercial Place,Office,All Other Thefts,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,85.6,58.7,71.4,0.0,0.0,27.4,63.6,9.4,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
